,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
519,Hitech,"City,",Flat,3,55000,Immediately,Bachelors/Family,1400,2,2
520,Kondapur,,Flat,3,15000,Immediately,Bachelors/Family,900,2,1
521,"Kokapet, Outer Ring","Road,",Flat,3,50000,Immediately,Bachelors/Family,2600,2,2
522,Khajaguda,,Villa,4,50000,Immediately,Bachelors/Family,2200,3,3
523,Defence Colony,Sainikpuri,Flat,3,45000,Immediately,Bachelors/Family,1222,3,1
524,Pragathi,"Enclave,",Flat,3,13000,Immediately,Bachelors,500,3,3
525,"Financial District, Nanakram","Guda,",Flat,3,30000,Immediately,Bachelors,3000,3,2
526,Izzathnagar,,Flat,4,35000,Immediately,Family,850,3,1
527,"Basheer Bagh, NH","7,",Flat,2,10000,Immediately,Bachelors/Family,1000,3,1
528,Chanda,Nagar,Villa,3,130000,Immediately,Bachelors/Family,2406,3,3
529,"Narsingi, Outer Ring","Road,",Flat,3,80000,Immediately,Bachelors/Family,8000,3,5
530,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,1908,2,3
531,Gachibowli,,Flat,4,13000,Immediately,Bachelors/Family,3005,2,3
532,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,60000,Immediately,Bachelors/Family,32000,2,1
533,Dandamudi Enclave,"Jeedimetla,",Flat,4,130000,Immediately,Bachelors/Family,4736,2,20
534,Hastinapuram,,Flat,2,15000,Immediately,Bachelors/Family,1800,4,2
535,Alwal,,Flat,2,20000,Immediately,Family,7000,4,1
536,Puppalguda,,Flat,3,85000,Immediately,Bachelors/Family,1800,3,9
537,Gachibowli,,Flat,3,25000,Immediately,Bachelors,1500,3,10
538,"Kokapet, Outer Ring","Road,",Flat,2,25000,Immediately,Bachelors/Family,2400,3,28
539,leke villa,Gandipet,Villa,5,32000,Immediately,Family,3000,3,3
540,"Kokapet, Outer Ring",Road,Villa,4,12000,Immediately,Bachelors/Family,1750,4,2
541,Nalagandla,,Flat,4,10000,Immediately,Bachelors/Family,4300,4,3
542,Nalagandla,,Flat,3,60000,Immediately,Family,1900,2,25
543,Kondapur,,Flat,2,7500,Immediately,Bachelors,1700,2,6
544,"Kollur, Outer Ring",Road,Villa,5,15000,Immediately,Bachelors,1600,1,4
545,Masjid,"Banda,",Flat,3,14000,Immediately,Bachelors/Family,1550,1,5
546,Shaikpet,,Flat,3,180000,Immediately,Bachelors/Family,1150,4,14
547,Pragathi Nagar,"Kukatpally,",Flat,3,10000,Immediately,Family,400,4,3
548,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors/Family,8000,3,1
549,Hitech,"City,",Flat,3,50000,Immediately,Family,1908,3,3
550,Kondapur,,Flat,3,23000,Immediately,Bachelors/Family,3005,5,1
551,"Kokapet, Outer Ring","Road,",Flat,3,5000,Immediately,Bachelors/Family,32000,5,3
552,Khajaguda,,Villa,4,22000,Immediately,Bachelors,4736,5,5
553,Defence Colony,Sainikpuri,Flat,3,13000,Immediately,Family,1800,5,3
554,Pragathi,"Enclave,",Flat,3,34000,Immediately,Bachelors/Family,7000,2,3
555,"Financial District, Nanakram","Guda,",Flat,3,15000,Immediately,Bachelors/Family,1800,2,1
556,Izzathnagar,,Flat,4,180000,Immediately,Bachelors/Family,1500,1,20
557,"Basheer Bagh, NH","7,",Flat,2,44000,Immediately,Bachelors,2400,1,2
558,Chanda,Nagar,Villa,3,36000,Immediately,Family,3000,2,1
559,"Narsingi, Outer Ring","Road,",Flat,3,17000,Immediately,Bachelors,1750,2,9
560,Narayanguda,,Flat,3,35000,Immediately,Family,4300,5,10
561,Gachibowli,,Flat,4,15000,Immediately,Bachelors/Family,1900,5,28
562,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,23000,Immediately,Bachelors/Family,1700,2,3
563,Dandamudi Enclave,"Jeedimetla,",Flat,4,11000,Immediately,Bachelors,1600,2,2
564,Hastinapuram,,Flat,2,0,Immediately,Bachelors/Family,1550,2,3
565,Alwal,,Flat,2,0,Immediately,Bachelors/Family,1150,2,25
566,Puppalguda,,Flat,3,0,Immediately,Bachelors,400,3,6
567,Gachibowli,,Flat,3,0,Immediately,Bachelors/Family,580,3,4
568,"Kokapet, Outer Ring","Road,",Flat,2,0,Immediately,Bachelors/Family,1250,2,5
569,leke villa,Gandipet,Villa,5,0,Immediately,Bachelors/Family,8000,2,14
570,"Kokapet, Outer Ring",Road,Villa,4,0,Immediately,Bachelors/Family,1908,4,3
571,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,3005,4,1
572,Nalagandla,,Flat,3,0,Immediately,Bachelors/Family,32000,3,3
573,Kondapur,,Flat,2,550000,Immediately,Bachelors/Family,4736,3,5
574,"Kollur, Outer Ring",Road,Villa,5,0,Immediately,Bachelors/Family,1800,1,5
575,Masjid,"Banda,",Flat,3,95000,Immediately,Family,7000,1,15
